Wine Number,Wine Name,Link
397,FRANCIACORTA AMINANTE,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
394,FRANCIACORTA BRUT VINTAGE LA SCALA*,https://images.vivino.com/thumbs/6HsSQzAgTliT1lOyevDhGA_pl_375x500.png
393,"FRANCIACORTA ROSATO, BELLAVISTA VINTAGE*",https://images.vivino.com/thumbs/oD2EMWQ8S62aLDrBUWZ3pw_pb_600x600.png
391,FRANCIACORTA BRUT,https://images.vivino.com/thumbs/8TKL0FH3SOTQB3360OKK_pb_x600.png
398,FRANCIACORTA 'DOSAGE ZERO*,https://www.tannico.it/media/catalog/product/c/a/ca-del-bosco-franciacorta-dosage-zero-dosaggio-zero-ca-del-bosco-1_1.jpg
396,FRANCIACORTA EXTRA BRUT 375ML*,https://images.vivino.com/thumbs/17PnbPjuSb2u3Fcrp-T0Jg_pb_600x600.png
395,FRANCIACORTA EXTRA BRUT 750ML*,https://images.vivino.com/thumbs/bgtD9YY0T6WAW6NdFV27eg_pb_x600.png
392,FRANCIACORTA SATEN,https://images.vivino.com/thumbs/2z-LQTQeS-Weavsp1HiZSA_pb_x960.png
341,TM,https://images.vivino.com/thumbs/KtNpuWGcT36oYn8mQBCBnQ_pb_600x600.png
343,ERBALUCE BRUT MILLESIMATO,https://images.vivino.com/thumbs/8TKL0FH3SOTQB3360OKK_pb_x600.png
342,BRACHETTO,https://images.vivino.com/thumbs/JdBDVe2xR0yznZjUe7_QZg_pl_375x500.png
344,BLANC DE BLANC PAS DOSE,https://images.vivino.com/thumbs/2z-LQTQeS-Weavsp1HiZSA_pb_x960.png
340,ASTI SPUMANTE,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
365,FERRARI BRUT*,https://images.vivino.com/thumbs/KtNpuWGcT36oYn8mQBCBnQ_pb_600x600.png
366,FERRARI ROSE* 375ML,https://images.vivino.com/thumbs/JdBDVe2xR0yznZjUe7_QZg_pl_375x500.png
405,"PRIE BLANC BRUT, MONT BLANC",https://images.vivino.com/thumbs/KtNpuWGcT36oYn8mQBCBnQ_pb_600x600.png
303,CHIARETTO SPUMANTE,https://images.vivino.com/thumbs/KtNpuWGcT36oYn8mQBCBnQ_pb_600x600.png
300,PROSECCO,https://images.vivino.com/thumbs/oD2EMWQ8S62aLDrBUWZ3pw_pb_600x600.png
301,PROSECCO SUPERIORE,https://images.vivino.com/thumbs/17PnbPjuSb2u3Fcrp-T0Jg_pb_600x600.png
302,PROSECCO SUPERIORE 375 ML,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
304,MILLESIMATO SOAVE VINTAGE BRUT,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
191,TREBBIANO D'ABRUZZO,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
207,MONTEPULCIANO,https://images.vivino.com/thumbs/6HsSQzAgTliT1lOyevDhGA_pl_375x500.png
193,TREBBIANO D'ABRUZZO,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
194,TREBBIANO D'ABRUZZO,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
205,CERASUOLO,https://images.vivino.com/thumbs/bgtD9YY0T6WAW6NdFV27eg_pb_x600.png
206,MONTEPULCIANO,https://www.vinook.it/wp-content/uploads/2020/06/Passofino-Montepulciano-dAbruzzo-DOC-768x990.jpg
192,PECORINO,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4399_394x.jpg?v=1595358014
130,BASILICATA BIANCO,https://images.vivino.com/thumbs/8TKL0FH3SOTQB3360OKK_pb_x600.png
115,PECORELLO,https://grancaffelaquila.com/cdn/shop/products/PECORELLOIPPOLITO_394x.png?v=1633969441
125,CIRO ROSATO,https://images.vivino.com/thumbs/KtNpuWGcT36oYn8mQBCBnQ_pb_600x600.png
114,CIRO BIANCO,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
151,FIANO,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4607_828x.jpg?v=1596211476
148,LACRYMA CHRISTI,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4597_394x.jpg?v=1596470168
145,FALANGHINA,https://images.vivino.com/thumbs/-jUR8z4DRo2XYZPybkZa1g_pb_x600.png
149,ISCHIA BIANCO,https://images.vivino.com/thumbs/2z-LQTQeS-Weavsp1HiZSA_pb_x960.png
161,MONTE DI GRAZIA ROSATO*,https://images.vivino.com/thumbs/17PnbPjuSb2u3Fcrp-T0Jg_pb_600x600.png
147,TRAMONTI,https://images.vivino.com/thumbs/KtNpuWGcT36oYn8mQBCBnQ_pb_600x600.png
152,PALAGRELLO,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4636_394x.jpg?v=1596473886
146,GRECO DI TUFO,"https://www.totalwine.com/dynamic/x1000,sq/media/sys_master/twmmedia/h50/h4e/12357382537246.png"
286,SET E MEZ,https://images.vivino.com/thumbs/bgtD9YY0T6WAW6NdFV27eg_pb_x600.png
287,IL FARNETO,https://images.vivino.com/thumbs/6HsSQzAgTliT1lOyevDhGA_pl_375x500.png
275,LAMBRUSCA BIANCO,https://images.vivino.com/thumbs/hH3uhumYQIy0z4JnG5T8ww_pl_480x640.png
992,BIANCO D'OR,https://images.vivino.com/thumbs/oD2EMWQ8S62aLDrBUWZ3pw_pb_600x600.png
991,SPARKLING BLANC DE BLANC,https://images.vivino.com/thumbs/2z-LQTQeS-Weavsp1HiZSA_pb_x960.png
335,DREAMS,https://images.vivino.com/thumbs/oD2EMWQ8S62aLDrBUWZ3pw_pb_600x600.png
333,PINOT GRIGIO,https://images.vivino.com/thumbs/H3bKAUe7ScemrAkWDmCvYw_pb_x960.png
332,RIBOLLA GIALLA,https://images.vivino.com/thumbs/Jf33AqEbS3K1uExgaVjUBw_pl_480x640.png
336,VINTAGE TUNINA,https://images.vivino.com/thumbs/17PnbPjuSb2u3Fcrp-T0Jg_pb_600x600.png
331,FRIULANO,https://images.vivino.com/thumbs/hH3uhumYQIy0z4JnG5T8ww_pl_480x640.png
334,CHARDONNAY,https://images.vivino.com/thumbs/bgtD9YY0T6WAW6NdFV27eg_pb_x600.png
212,BELLONE,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
213,FERENTANO,https://images.vivino.com/thumbs/oD2EMWQ8S62aLDrBUWZ3pw_pb_600x600.png
210,EST EST EST,https://grancaffelaquila.com/cdn/shop/products/estest_394x.jpg?v=1633096531
211,FRASCATI,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4618_394x.jpg?v=1596212711
221,VERDICCHIO,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4606_828x.jpg?v=1596211398
222,VERDICCHIO DEI CASTELLI DI JESI,https://grancaffelaquila.com/cdn/shop/products/CopyofIMG_4606_828x.jpg?v=1596211398
220,PECORINO,https://images.vivino.com/thumbs/JdBDVe2xR0yznZjUe7_QZg_pl_375x500.png
270,CILIEGIOLO,https://www.bisson-birreriedelporto.it/wp-content/uploads/2021/01/Ciliegiolo_22-768x1024.jpg
261,PIGATO,https://images.vivino.com/thumbs/8TKL0FH3SOTQB3360OKK_pb_x600.png
260,VERMENTINO,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
262,CINQUE TERRE,https://images.vivino.com/thumbs/17PnbPjuSb2u3Fcrp-T0Jg_pb_600x600.png
399,FRANCIACORTA ANNAMARIA CLEMENTI,https://www.bortoluzziwinelab.com/389-large_default/ca-del-bosco-annamaria-clementi-riserva-1.jpg
181,BIFERNO BIANCO,https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
182,"VINCENZO, TREBBIANO*",https://images.vivino.com/thumbs/taGqMACvRRabyRG2F6cZlg_pl_375x500.png
354,GAVI DI GAVI,https://images.vivino.com/thumbs/17PnbPjuSb2u3Fcrp-T0Jg_pb_600x600.png
351,MOSCATO D'ASTI,https://images.vivino.com/thumbs/oD2EMWQ8S62aLDrBUWZ3pw_pb_600x600.png
355,TIMORASSO,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
353,ARNEIS,https://images.vivino.com/thumbs/bgtD9YY0T6WAW6NdFV27eg_pb_x600.png
352,MOSCATO D'ASTI 375ML,https://images.vivino.com/thumbs/6HsSQzAgTliT1lOyevDhGA_pl_375x500.png
761,NEBBIOLO ROSY,https://www.gustoebonta.it/325-large_default/pio-cesare-nebbiolo-rosy-langhe-doc-2022.jpg
135,GRAVINA,https://images.vivino.com/thumbs/hH3uhumYQIy0z4JnG5T8ww_pl_480x640.png
136,VERDECA,https://images.vivino.com/thumbs/Jf33AqEbS3K1uExgaVjUBw_pl_480x640.png
170,VERMENTINO,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
171,VERMENTINO,https://images.vivino.com/thumbs/mxja14kg78nzdjfpcyah.jpg
